,location,mintemp,maxtemp,rainfall,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
0,Uluru,12.3,30.1,0.0,ENE,39.0,E,ENE,20.0,13.0,23,10,1023.3,1018.5,20.9,29.7,No,0.0,No,2014.0,9.0,255.0
1,Uluru,20.5,35.9,5.0,SSE,52.0,SE,SE,9.0,20.0,71,29,1012.9,1009.1,23.4,33.9,Yes,0.2,No,2015.0,2.0,54.0
2,Uluru,15.8,41.4,0.0,NNW,50.0,SSE,NW,7.0,24.0,15,4,1012.3,1008.5,24.1,39.7,No,0.0,No,2013.0,10.0,282.0
3,Uluru,18.3,36.0,0.0,SE,57.0,E,ESE,28.0,17.0,29,11,1016.0,1011.7,26.4,34.2,No,0.0,No,2014.0,1.0,6.0
4,Uluru,28.9,44.8,0.0,ENE,44.0,ESE,E,24.0,26.0,10,8,1010.5,1006.4,36.7,43.3,No,0.0,No,2019.0,1.0,13.0
5,Uluru,18.1,35.9,0.0,ESE,35.0,ESE,SE,22.0,11.0,32,14,1012.2,1007.6,25.1,33.5,No,0.0,No,2019.0,2.0,41.0
6,Uluru,7.4,25.2,0.0,ENE,41.0,E,E,22.0,13.0,43,26,1025.7,1021.3,14.9,24.0,No,0.0,No,2019.0,5.0,135.0
7,Uluru,11.5,23.4,0.0,NNW,28.0,ESE,NNE,4.0,6.0,57,55,1018.1,1013.8,15.9,22.6,No,0.0,No,2013.0,5.0,139.0
8,Uluru,18.0,34.6,0.0,SW,39.0,E,SW,2.0,17.0,64,32,1006.7,1003.1,24.6,33.2,No,0.0,No,2015.0,1.0,12.0
9,Uluru,5.2,25.4,0.0,ENE,31.0,E,N,9.0,11.0,40,15,1024.7,1020.1,15.0,24.4,No,0.0,No,2013.0,8.0,237.0
10,Uluru,15.1,30.6,0.0,E,43.0,E,ESE,20.0,19.0,28,17,1018.4,1014.4,24.0,29.5,No,0.0,No,2013.0,4.0,102.0
11,Uluru,24.1,37.0,0.0,E,35.0,ESE,ESE,20.0,24.0,30,20,1013.1,1008.7,27.4,36.1,No,0.0,No,2017.0,3.0,87.0
12,Uluru,14.4,28.7,4.8,WNW,59.0,NNE,WSW,9.0,24.0,95,58,1011.7,1008.6,18.5,24.9,Yes,2.2,Yes,2017.0,10.0,280.0
13,Uluru,16.3,29.9,0.0,ENE,39.0,E,NE,22.0,15.0,47,28,1017.4,1014.4,21.7,29.3,No,0.0,No,2013.0,4.0,113.0
14,Uluru,14.3,31.6,0.0,NNE,26.0,SE,NNW,9.0,17.0,71,24,1022.0,1018.4,19.8,30.5,No,0.0,No,2019.0,5.0,141.0
15,Uluru,12.3,35.5,0.0,SE,43.0,ENE,SE,24.0,19.0,9,6,1015.9,1011.5,28.4,34.1,No,0.0,No,2019.0,10.0,302.0
16,Uluru,23.0,38.7,0.0,SSE,41.0,N,SSE,11.0,28.0,25,16,1011.4,1008.8,32.0,38.0,No,0.0,No,2014.0,11.0,328.0
17,Uluru,-1.5,24.0,0.0,WNW,54.0,SSW,NW,9.0,19.0,25,11,1016.7,1012.5,8.9,22.7,No,0.0,No,2018.0,7.0,196.0
18,Uluru,20.7,28.8,5.4,ESE,44.0,ESE,SE,13.0,17.0,87,61,1012.6,1010.3,22.0,26.7,Yes,0.0,No,2014.0,1.0,25.0
19,Uluru,27.3,36.1,0.0,E,41.0,SE,ESE,24.0,26.0,26,20,1008.4,1005.6,30.9,35.0,No,0.0,No,2015.0,1.0,4.0
20,Uluru,20.0,37.6,0.0,ESE,44.0,ENE,SE,26.0,20.0,15,8,1016.7,1012.6,27.7,35.5,No,0.0,No,2017.0,12.0,344.0
21,Uluru,24.0,42.2,0.0,ENE,57.0,ENE,ENE,20.0,30.0,18,10,1017.4,1012.7,33.8,40.5,No,0.0,No,2015.0,2.0,40.0
22,Uluru,2.0,23.2,0.0,SE,31.0,SE,SE,13.0,9.0,47,21,1026.3,1022.4,12.7,22.5,No,0.0,No,2013.0,8.0,235.0
23,Uluru,18.5,32.4,0.0,SE,30.0,SE,SSW,20.0,17.0,34,26,1013.1,1009.7,25.5,30.7,No,0.0,No,2013.0,4.0,105.0
24,Uluru,15.6,24.9,4.8,WNW,22.0,SSE,NW,7.0,6.0,95,50,1018.0,1014.3,16.7,23.0,Yes,0.0,No,2014.0,5.0,142.0
25,Uluru,10.8,24.2,10.6,E,22.0,ESE,NNW,11.0,11.0,87,52,1025.1,1021.2,11.8,22.7,Yes,0.0,No,2017.0,7.0,193.0
26,Uluru,4.5,18.8,0.0,E,31.0,ESE,E,13.0,15.0,42,26,1026.9,1022.4,9.5,18.6,No,0.0,No,2017.0,6.0,155.0
