,species,island,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,above_average_weight,sex
0,Adelie,Torgersen,2007,39.1,18.7,181,3750,0,male
1,Adelie,Torgersen,2007,39.5,17.4,186,3800,0,female
2,Adelie,Torgersen,2007,40.3,18.0,195,3250,0,female
3,Adelie,Torgersen,2007,,,,,,
4,Adelie,Torgersen,2007,36.7,19.3,193,3450,0,female
5,Adelie,Torgersen,2007,39.3,20.6,190,3650,0,male
6,Adelie,Torgersen,2007,38.9,17.8,181,3625,0,female
7,Adelie,Torgersen,2007,39.2,19.6,195,4675,1,male
8,Adelie,Torgersen,2007,34.1,18.1,193,3475,0,
9,Adelie,Torgersen,2007,42.0,20.2,190,4250,1,
10,Adelie,Torgersen,2007,37.8,17.1,186,3300,0,
11,Adelie,Torgersen,2007,37.8,17.3,180,3700,0,
12,Adelie,Torgersen,2007,41.1,17.6,182,3200,0,female
13,Adelie,Torgersen,2007,38.6,21.2,191,3800,0,male
14,Adelie,Torgersen,2007,34.6,21.1,198,4400,1,male
15,Adelie,Torgersen,2007,36.6,17.8,185,3700,0,female
16,Adelie,Torgersen,2007,38.7,19.0,195,3450,0,female
17,Adelie,Torgersen,2007,42.5,20.7,197,4500,1,male
18,Adelie,Torgersen,2007,34.4,18.4,184,3325,0,female
19,Adelie,Torgersen,2007,46.0,21.5,194,4200,0,male
20,Adelie,Biscoe,2007,37.8,18.3,174,3400,0,female
21,Adelie,Biscoe,2007,37.7,18.7,180,3600,0,male
22,Adelie,Biscoe,2007,35.9,19.2,189,3800,0,female
23,Adelie,Biscoe,2007,38.2,18.1,185,3950,0,male
24,Adelie,Biscoe,2007,38.8,17.2,180,3800,0,male
25,Adelie,Biscoe,2007,35.3,18.9,187,3800,0,female
26,Adelie,Biscoe,2007,40.6,18.6,183,3550,0,male
27,Adelie,Biscoe,2007,40.5,17.9,187,3200,0,female
28,Adelie,Biscoe,2007,37.9,18.6,172,3150,0,female
29,Adelie,Biscoe,2007,40.5,18.9,180,3950,0,male
30,Adelie,Dream,2007,39.5,16.7,178,3250,0,female
31,Adelie,Dream,2007,37.2,18.1,178,3900,0,male
32,Adelie,Dream,2007,39.5,17.8,188,3300,0,female
33,Adelie,Dream,2007,40.9,18.9,184,3900,0,male
34,Adelie,Dream,2007,36.4,17.0,195,3325,0,female
35,Adelie,Dream,2007,39.2,21.1,196,4150,0,male
36,Adelie,Dream,2007,38.8,20.0,190,3950,0,male
37,Adelie,Dream,2007,42.2,18.5,180,3550,0,female
38,Adelie,Dream,2007,37.6,19.3,181,3300,0,female
39,Adelie,Dream,2007,39.8,19.1,184,4650,1,male
40,Adelie,Dream,2007,36.5,18.0,182,3150,0,female
41,Adelie,Dream,2007,40.8,18.4,195,3900,0,male
42,Adelie,Dream,2007,36.0,18.5,186,3100,0,female
43,Adelie,Dream,2007,44.1,19.7,196,4400,1,male
44,Adelie,Dream,2007,37.0,16.9,185,3000,0,female
45,Adelie,Dream,2007,39.6,18.8,190,4600,1,male
46,Adelie,Dream,2007,41.1,19.0,182,3425,0,male
47,Adelie,Dream,2007,37.5,18.9,179,2975,0,
48,Adelie,Dream,2007,36.0,17.9,190,3450,0,female
49,Adelie,Dream,2007,42.3,21.2,191,4150,0,male
50,Adelie,Biscoe,2008,39.6,17.7,186,3500,0,female
51,Adelie,Biscoe,2008,40.1,18.9,188,4300,1,male
52,Adelie,Biscoe,2008,35.0,17.9,190,3450,0,female
53,Adelie,Biscoe,2008,42.0,19.5,200,4050,0,male
54,Adelie,Biscoe,2008,34.5,18.1,187,2900,0,female
55,Adelie,Biscoe,2008,41.4,18.6,191,3700,0,male
56,Adelie,Biscoe,2008,39.0,17.5,186,3550,0,female
57,Adelie,Biscoe,2008,40.6,18.8,193,3800,0,male
58,Adelie,Biscoe,2008,36.5,16.6,181,2850,0,female
59,Adelie,Biscoe,2008,37.6,19.1,194,3750,0,male
60,Adelie,Biscoe,2008,35.7,16.9,185,3150,0,female
61,Adelie,Biscoe,2008,41.3,21.1,195,4400,1,male
62,Adelie,Biscoe,2008,37.6,17.0,185,3600,0,female
63,Adelie,Biscoe,2008,41.1,18.2,192,4050,0,male
64,Adelie,Biscoe,2008,36.4,17.1,184,2850,0,female
65,Adelie,Biscoe,2008,41.6,18.0,192,3950,0,male
66,Adelie,Biscoe,2008,35.5,16.2,195,3350,0,female
67,Adelie,Biscoe,2008,41.1,19.1,188,4100,0,male
68,Adelie,Torgersen,2008,35.9,16.6,190,3050,0,female
69,Adelie,Torgersen,2008,41.8,19.4,198,4450,1,male
70,Adelie,Torgersen,2008,33.5,19.0,190,3600,0,female
